question,answer,category
Dx and Tx: Crotalid compartment syndrome,"Rare. Only occurs with bite into deep compartment, causing classic ""5 Ps"" Tx: antivenin and more antiveninin, NOT surgery (unless progressive despite antivenin).",Environmental
What is the correct advice for initial first aid (prior to ED) for snake bites?,"Get away from snake (don't try to catch it), immobilize extremity, minimize movement, compression (air splint or elastic bandage). NO tourniquet unless it is possibly a coral snake bite with neurotoxic venom. Don't try to suck the venom out of the wound either.",Environmental
When should CroFab be given and what is the appropriate administration?,"Severe symptoms after suspected Crotalid bite. Antivenin causes less anaphylaxis than previous versions. Dosing is per venom amountbased on amount of venom, not patient weight; Tx 4-6 vials (slow over 10 min to monitor for anaphylaxis then give the rest over 1 hour), titrate doses to arrest of symptoms (mark skin, repeat labs), monitor for possible rebound.",Environmental
"Review Dx and Tx of infection by marine microorganisms including Erysipelothrix, Mycobacterium marinum and Vibrio vulnificus","Erysipelothrix: Gram positive rod in salt water, SSx: ""erysipeloid"" cellulitis; Tx: cipro or pcn/cephalosporin. M. marinum: acid-fast bacillus in salt water, SSx: ""fish tank granuloma"" nodules/papules in areas exposed to H2O weeks after cleaning a fish tank; Tx: clarithromycin + ethambutol (TB meds). V. vulnificus: Gram negative rod in salt water, ingestion of oysters or expsure to salt water. SSx: hemorrhagic bullae, necrotizing fasciitis, primary septicemia (e.g. cirrhotic patient eats raw shellfish); Tx: ceftriaxone + doxycycline.",Environmental
What is the appropriate Tx of jellyfish envenomations (stings),"Cnidaria: sea anemones, fire coral, jellyfish, box jellyfish, portuguese man-of-war. Contain nematocysts: venom causes localized pain (MC ssx), erythema, pruritis, arrhythmia (systemic). Tx: deactivating with 5% acetic acid/vinegar x30min OR saltwater rinse (NOT freshwater), scrape off nematocysts, give antivenom if box jellyfish. Portugese man-of war: saltwater then hot water, avoid vinegar/cold water",Environmental
"What is the appropriate Tx of marine vertebrate wounds (e.g. stingrays, lionfish, stonefish)?","Provide local wound care, give antibiotics (cephalexin/doxycycline), r/o retained foreign body, HOT water immersion (>113°F (45°C) deactivates heat labile toxin), no acetic acid; do NOT close wounds.",Environmental
"Distinguish ciguatera vs. scrombroid vs. paralytic shellfish intoxications include ssx, dx and tx.","Ciguatera: small fish feed on coral reef dinoflagellates (contain heat stable toxin) → larger, carnivorous fish (barracuda, grouper, red sapper, parrotfish, amberjack) feed on smaller fish; seen Hawaii, Florida, Caribbean; SSx: onset within 6 hrs; GI sx: n/v/d, abd pain; neuro sx: hot/ cold reversal (cold alloynia), sensation of tooth looseness, ataxia, coma; CV: bradycardia, hypotension, pulmonary edema; Rx: supportive care, IVF (hypotension), atropine (bradycardia), mannitol (neuro ssx). Scombroid: histamine-like toxin (heat stable) from poorly refrigerated dark-meat fish (tuna, mackerel, yellowtail); caused by bacterial breakdown of histidine → histamine; SSx: tastes ""peppery,"" causes rapid onset (10-30 min of meal) with flushing HA, abd cramps, n/v/d, often occurs in multiple people with same symptoms (as opposed to allergic reaction); Rx: IVF, antihistamines. Paralytic shellfish reaction: toxin from dinoflagellates in ""red tide"" summer, blocks Na conduction; SSx: rapid onset n/v/d, paresthesias and paralysis; Rx: supportive",Environmental
How do Tarantula bites present?,Mostly pain at the bite site. Usually very little swelling at the bite site. They have “urticating hairs” which can cause localized allergic reactions.,Environmental
Obstetrics & Gynecology Bizz,What size ovarian cyst is high risk for torsion?,OB/Gyn
What is the cause of injury in ovarian torsion?,"Twisting leading to obstruction of VENOUS and lymphatic flow, leading to congestion, edema and ischemia. Arterial obstruction is rare 2/2 dual blood supply.",OB/Gyn
What is the most common finding on US with ovarian torsion?,Ovarian enlargement,OB/Gyn
Most common type of ovarian cyst?,Simple follicular cysts. Thin walled and fluid filled. Present in 1st 2 weeks of the cycle.,OB/Gyn
Most likely type of ovarian cyst most likely to bleed?,Corpus luteal cyst. Present in the last 2 weeks of cycle. Can cause significant hemmorrage.,OB/Gyn
What is the next step in management if you have high suspicion for ovarian torsion but a normal ultrasound?,OB/Gyn consult for laparoscopy (gold standard),OB/Gyn
Dx: Vaginal bleeding in postmenopausal woman,Gynecologic cancer until proven otherwise,OB/Gyn
"Review the classic presentations for ovarian, endometrial, and cervical cancers","Ovarian: age 50s-60s, gradual subacute abd pain, ascites, CA-125+. Endometrial: vaginal bleeding in post-menopausal women. Cervical: h/o HPV or HIV, postcoital bleeding, abnormal cervix on pelvic",OB/Gyn
What are the most common causes of vaginal bleeding in prepubertal female?,"Vaginitis, anovulation, trauma or foreign body (malodorous and slightly bloody); consider vaginal foreign body (usually toilet paper) in young girl who just started school and has bloody foul smelling discharge.",OB/Gyn
What are the most common causes of vaginal bleeding in reproductive female?,"Menses, pregnancy, anovulation; less likely fibroids, exogenous hormones",OB/Gyn
What are the most common causes of vaginal bleeding in perimenopausal women?,"Anovulation, fibroids, cervical and endometrial polyps, thyroid dysfunction",OB/Gyn
What are the most common causes of vaginal bleeding in postmenopausal women?,"Endometrial cancer, exogenous hormones, atrophic vaginitis",OB/Gyn
What is a potential medication for severe non-pregnant vaginal bleeding?,IV premarin (estrogen),OB/Gyn
"Middle aged female with ""ball coming out of vagina""?",Uterine prolapse or cystocele; worse with valsalva. Tx: pessary or surgery.,OB/Gyn
What patient population has a higher risk of uterine fibroids?,African-American women,OB/Gyn
What is the difference between menorrhagia and metrorrhagia?,"Menorrhagia is excessive flow (heavy periods), metrorrhagia is irregular cycles.",OB/Gyn
"Dx: Abdominal pain and tenderness, vaginal discharge, cervical motion tenderness","Pelvic inflammatory disease (PID). C. trachomatis = MCC, N. gonorrhoeae, polymicrobial. Dx: consider pelvic US to r/o TOA. **Note that they won't always have CMT, but may just have focal uterine or adnexal pain.** Tx: Ceftriaxone IM 500mg, 14 days of doxycycline and metronidazole.",OB/Gyn
PID and RUQ shoulder pain,"Fitz-Hugh-Curtis syndrome (perihepatitis): infection to perihepatic space causing liver capsule inflammation and adhesions. SSx: RUQ + PID ssx. Chlamydia = MCC. CT: ±""violin-string"" adhesions, usually normal LFTs. Tx: just like PID, 500mg ceftriaxone IM and 14 days of doxycycline (plus or minus metronidazole). Make sure no concerns for TOA.",OB/Gyn
Most common GYN problem in children,Vulvovaginitis,OB/Gyn
Dx and Tx: Vaginal discharge and clue cells,"Bacterial vaginosis. Gardnerella/anaerobes. Amsel criteria (3 out of 4 means positive test): thin, white d/c, ""clue cells"", vaginal pH >4.5, fishy odor (+whiff test). Tx: metronidazole.",OB/Gyn
Dx and Tx: Vaginal discharge and pseudohyphae on wet mount,"Candidal vaginitis: overgrowth of normal flora, causing pruritis, ""cottage cheese"" discharge; Tx: fluconazole.",OB/Gyn
What other conditions are associated with frequent yeast infections?,"Diabetes, HIV, pregnancy, antibiotics, steroids",OB/Gyn
"SSx, Dx, and Tx: Vaginal discharge and ""strawberry cervix""","Trichomoniasis: protozoal infection. SSx: ""frothy yellow-green"" discharge. Dx: pH >5, WBCs, motile trichomonads. Tx: PO metronidazole.",OB/Gyn
What is the definitive treatment for Bartholin's cyst/abscess?,"Marsupialization; in ED do I&D of abscess, place Word catheter",OB/Gyn
Dx and Tx: Early pregnancy with big uterus and high hCG,"Hydatidiform mole: painless vaginal bleeding, uterus bigger than dates, hyperemesis, preeclampsia; Dx: hCG >100,000, US: ""grape-like vesicles"", ""snowstorm""; Tx: chemo, radiation, or surgery. Complication: high risk of malignancy (choriocarcinoma).",OB/Gyn
What is the ultrasonographic and prognostic difference between partial and complete hydatidiform moles?,"Partial: nonviable fetus, <5% become malignant. triploid karyotype. Complete: ""snowstorm"" appearance on US, 20% become malignant. Diploid karyotype.",OB/Gyn
Most common side for pyelonephritis in pregnancy?,"Right sided. 70-80% are right sided. Pregnant women are much more likely to have pyelonephritis than non-pregnant women,",OB/Gyn
"Describe the meaning of the following components of labor progression: dilation, effacement, station","Dilation: opening of cervical os, up to 10cm. Effacement: thinning of the cervix, up to 100%. Station: fetal presenting part location, ranges neg (above) to positive (below) cm relative to ischial spines (0).",OB/Gyn
Review the stages of labor 1-4,1: regular contractions to full cervical dilation (10cm). 2: full dilation to delivery of infant. 3: delivery of infant to delivery of placenta. 4: recovery/ treatment of lacs/tears/hemorrhage.,OB/Gyn
How long does stage 1 of labor last? Second stage? Third stage?,First time: 6-20hrs; multiparous: 2-14 hrs / Second stage: primps: 30mins-3hrs; multips: 5-60mins/ third stage: everyone: 0-30mins.,OB/Gyn
What is the concern with late decelerations on tocodynamometer monitoring during labor?,Uteroplacental insufficiency,OB/Gyn
What is the concern with variable decelerations on tocodynamometer monitoring during labor?,Cord compression,OB/Gyn
Review the initial management of low FHR on toco monitoring,"Change mom's position (left lateral is best), give oxygen, stop any supplemental oxytocin",OB/Gyn
What are signs of placental separation during Stage 3 of labor,"Cord lengthening, fresh flow of blood, uterus becomes firm/globular, fundus rises",OB/Gyn
What vessels are present in a normal placenta?,3 vessels total: 2 arteries and 1 vein,OB/Gyn
Review the protocol for Apgar scoring,"Max 10pts measured , 0-2pts for each: Appearance (pink, acral cyanosis, central cyanosis), Pulse (>100bpm, <100bpm, absent), Grimace (crying, grimace on suctioning, no response), Activity (flexing BUE and BLE, weak tone, flaccid), Respirations (robust cry, weak cry or irregular/gasping, not breathing)",OB/Gyn
What are management options for dystocia?,"(Dystocia = abnormal labor, full dilation but can't deliver fetus); C-section, oxytocin, forceps/vacuum delivery, maneuvers",OB/Gyn
What is the appropriate management for shoulder dystocia?,"Inability to deliver anterior shoulder 2/2 impaction against mother's pubic symphysis. ""HELPER"": Help (call OB, neonatology, anesthesia), Episiotomy, Legs flexed (McRoberts maneuver - hyper flexing and abducting the mother’s hips), Pressure (suprapubic), Enter vagina (Rubin/Woods screw maneuvers - push anterior shoulder into infant’s chest, grab the posterior scapula and rotate shoulder 180 deg), Remove posterior arm. Final option is to break infant's clavicle; can also place Foley to empty the mother's bladder.",OB/Gyn
What risks are associated with csection compared to vaginal delivery?,"Higher risk of thromboembolism, bleeding, infection, longer hospital stay/ recovery",OB/Gyn
What is the appropriate management of a nuchal cord?,Prevent compression of cord by gently reducing it over the head (loose) or clamping and cutting the cord (tight) with rapid delivery of the fetus,OB/Gyn
What is the appropriate management of a cord prolapse?,"Obstetrical emergency. Elevate presenting part to reduce cord compression (mother in knee-chest position or Trendelenburg), peform immediate C-section. Overall high fetal morbidity/mortality.",OB/Gyn
What risks are associated with breech presentation?,"Higher risk of cord prolapse, premature rupture of membranes, dystocia",OB/Gyn
What defines postpartum hemorrhage?,"10% drop in Hct or blood loss requiring transfusion; typically 500cc for vaginal birth, 1L for c-section",OB/Gyn
What are the most common causes of postpartum hemorrhage based on timing of presentation (<24h or >24h)?,"Early (<24hr): **uterine atony** (most common), lacerations, retained POC; Late (>24hr): retained POC, lacerations",OB/Gyn
"What is the appropriate management of postpartum bleeding 2/2 uterine atony, lacerations, and retained products, respectively?","Atony: MCC < 24hrs; Tx: fundal massage, oxytocin, IVF, NO MAG. Lacerations: borth trauma = 2nd MCC. Tx: surgical repair. Retained products: early or late bleeding; Dx: US; Tx: surgical removal. All: transfuse as needed.",OB/Gyn
